mu_g,b,Γ_sch/Γ0,Γ_total/Γ0,Γ_inst,S_inst
0.01,0.0,63.9297992582457,63.9297992582457,0.0,10.0
0.01,0.0,63.9297992582457,63.9297992582457,0.0,37.14285714285714
0.01,0.0,63.9297992582457,63.9297992582457,0.0,64.28571428571428
0.01,0.0,63.9297992582457,63.9297992582457,0.0,91.42857142857143
0.01,0.0,63.9297992582457,63.9297992582457,0.0,118.57142857142857
0.01,0.0,63.9297992582457,63.9297992582457,0.0,145.71428571428572
0.01,0.0,63.9297992582457,63.9297992582457,0.0,172.85714285714286
0.01,0.0,63.9297992582457,63.9297992582457,0.0,200.0
0.01,2.2222222222222223,55.290209546753644,55.290209546753644,0.0,10.0
0.01,2.2222222222222223,55.290209546753644,55.290209546753644,0.0,37.14285714285714
0.01,2.2222222222222223,55.290209546753644,55.290209546753644,0.0,64.28571428571428
0.01,2.2222222222222223,55.290209546753644,55.290209546753644,0.0,91.42857142857143
0.01,2.2222222222222223,55.290209546753644,55.290209546753644,0.0,118.57142857142857
0.01,2.2222222222222223,55.290209546753644,55.290209546753644,0.0,145.71428571428572
0.01,2.2222222222222223,55.290209546753644,55.290209546753644,0.0,172.85714285714286
0.01,2.2222222222222223,55.290209546753644,55.290209546753644,0.0,200.0
0.01,4.444444444444445,48.29058059195696,48.29058059195696,0.0,10.0
0.01,4.444444444444445,48.29058059195696,48.29058059195696,0.0,37.14285714285714
0.01,4.444444444444445,48.29058059195696,48.29058059195696,0.0,64.28571428571428
0.01,4.444444444444445,48.29058059195696,48.29058059195696,0.0,91.42857142857143
0.01,4.444444444444445,48.29058059195696,48.29058059195696,0.0,118.57142857142857
0.01,4.444444444444445,48.29058059195696,48.29058059195696,0.0,145.71428571428572
0.01,4.444444444444445,48.29058059195696,48.29058059195696,0.0,172.85714285714286
0.01,4.444444444444445,48.29058059195696,48.29058059195696,0.0,200.0
0.01,6.666666666666667,42.54066435487428,42.54066435487428,0.0,10.0
0.01,6.666666666666667,42.54066435487428,42.54066435487428,0.0,37.14285714285714
0.01,6.666666666666667,42.54066435487428,42.54066435487428,0.0,64.28571428571428
0.01,6.666666666666667,42.54066435487428,42.54066435487428,0.0,91.42857142857143
0.01,6.666666666666667,42.54066435487428,42.54066435487428,0.0,118.57142857142857
0.01,6.666666666666667,42.54066435487428,42.54066435487428,0.0,145.71428571428572
0.01,6.666666666666667,42.54066435487428,42.54066435487428,0.0,172.85714285714286
0.01,6.666666666666667,42.54066435487428,42.54066435487428,0.0,200.0
0.01,8.88888888888889,37.759746605099096,37.759746605099096,0.0,10.0
0.01,8.88888888888889,37.759746605099096,37.759746605099096,0.0,37.14285714285714
0.01,8.88888888888889,37.759746605099096,37.759746605099096,0.0,64.28571428571428
0.01,8.88888888888889,37.759746605099096,37.759746605099096,0.0,91.42857142857143
0.01,8.88888888888889,37.759746605099096,37.759746605099096,0.0,118.57142857142857
0.01,8.88888888888889,37.759746605099096,37.759746605099096,0.0,145.71428571428572
0.01,8.88888888888889,37.759746605099096,37.759746605099096,0.0,172.85714285714286
0.01,8.88888888888889,37.759746605099096,37.759746605099096,0.0,200.0
0.01,11.11111111111111,33.74172352550406,33.74172352550406,0.0,10.0
0.01,11.11111111111111,33.74172352550406,33.74172352550406,0.0,37.14285714285714
0.01,11.11111111111111,33.74172352550406,33.74172352550406,0.0,64.28571428571428
0.01,11.11111111111111,33.74172352550406,33.74172352550406,0.0,91.42857142857143
0.01,11.11111111111111,33.74172352550406,33.74172352550406,0.0,118.57142857142857
0.01,11.11111111111111,33.74172352550406,33.74172352550406,0.0,145.71428571428572
0.01,11.11111111111111,33.74172352550406,33.74172352550406,0.0,172.85714285714286
0.01,11.11111111111111,33.74172352550406,33.74172352550406,0.0,200.0
0.01,13.333333333333334,30.33251092806731,30.33251092806731,0.0,10.0
0.01,13.333333333333334,30.33251092806731,30.33251092806731,0.0,37.14285714285714
0.01,13.333333333333334,30.33251092806731,30.33251092806731,0.0,64.28571428571428
0.01,13.333333333333334,30.33251092806731,30.33251092806731,0.0,91.42857142857143
0.01,13.333333333333334,30.33251092806731,30.33251092806731,0.0,118.57142857142857
0.01,13.333333333333334,30.33251092806731,30.33251092806731,0.0,145.71428571428572
0.01,13.333333333333334,30.33251092806731,30.33251092806731,0.0,172.85714285714286
0.01,13.333333333333334,30.33251092806731,30.33251092806731,0.0,200.0
0.01,15.555555555555557,27.4150487979793,27.4150487979793,0.0,10.0
0.01,15.555555555555557,27.4150487979793,27.4150487979793,0.0,37.14285714285714
0.01,15.555555555555557,27.4150487979793,27.4150487979793,0.0,64.28571428571428
0.01,15.555555555555557,27.4150487979793,27.4150487979793,0.0,91.42857142857143
0.01,15.555555555555557,27.4150487979793,27.4150487979793,0.0,118.57142857142857
0.01,15.555555555555557,27.4150487979793,27.4150487979793,0.0,145.71428571428572
0.01,15.555555555555557,27.4150487979793,27.4150487979793,0.0,172.85714285714286
0.01,15.555555555555557,27.4150487979793,27.4150487979793,0.0,200.0
0.01,17.77777777777778,24.899116936022317,24.899116936022317,0.0,10.0
0.01,17.77777777777778,24.899116936022317,24.899116936022317,0.0,37.14285714285714
0.01,17.77777777777778,24.899116936022317,24.899116936022317,0.0,64.28571428571428
0.01,17.77777777777778,24.899116936022317,24.899116936022317,0.0,91.42857142857143
0.01,17.77777777777778,24.899116936022317,24.899116936022317,0.0,118.57142857142857
0.01,17.77777777777778,24.899116936022317,24.899116936022317,0.0,145.71428571428572
0.01,17.77777777777778,24.899116936022317,24.899116936022317,0.0,172.85714285714286
0.01,17.77777777777778,24.899116936022317,24.899116936022317,0.0,200.0
0.01,20.0,22.714275186630672,22.714275186630672,0.0,10.0
0.01,20.0,22.714275186630672,22.714275186630672,0.0,37.14285714285714
0.01,20.0,22.714275186630672,22.714275186630672,0.0,64.28571428571428
0.01,20.0,22.714275186630672,22.714275186630672,0.0,91.42857142857143
0.01,20.0,22.714275186630672,22.714275186630672,0.0,118.57142857142857
0.01,20.0,22.714275186630672,22.714275186630672,0.0,145.71428571428572
0.01,20.0,22.714275186630672,22.714275186630672,0.0,172.85714285714286
0.01,20.0,22.714275186630672,22.714275186630672,0.0,200.0
0.12,0.0,63.92980848876336,63.92980848876336,0.0,10.0
0.12,0.0,63.92980848876336,63.92980848876336,0.0,37.14285714285714
0.12,0.0,63.92980848876336,63.92980848876336,0.0,64.28571428571428
0.12,0.0,63.92980848876336,63.92980848876336,0.0,91.42857142857143
0.12,0.0,63.92980848876336,63.92980848876336,0.0,118.57142857142857
0.12,0.0,63.92980848876336,63.92980848876336,0.0,145.71428571428572
0.12,0.0,63.92980848876336,63.92980848876336,0.0,172.85714285714286
0.12,0.0,63.92980848876336,63.92980848876336,0.0,200.0
0.12,2.2222222222222223,55.29021752984231,55.29021752984231,0.0,10.0
0.12,2.2222222222222223,55.29021752984231,55.29021752984231,0.0,37.14285714285714
0.12,2.2222222222222223,55.29021752984231,55.29021752984231,0.0,64.28571428571428
0.12,2.2222222222222223,55.29021752984231,55.29021752984231,0.0,91.42857142857143
0.12,2.2222222222222223,55.29021752984231,55.29021752984231,0.0,118.57142857142857
0.12,2.2222222222222223,55.29021752984231,55.29021752984231,0.0,145.71428571428572
0.12,2.2222222222222223,55.29021752984231,55.29021752984231,0.0,172.85714285714286
0.12,2.2222222222222223,55.29021752984231,55.29021752984231,0.0,200.0
0.12,4.444444444444445,48.29058756440271,48.29058756440271,0.0,10.0
0.12,4.444444444444445,48.29058756440271,48.29058756440271,0.0,37.14285714285714
0.12,4.444444444444445,48.29058756440271,48.29058756440271,0.0,64.28571428571428
0.12,4.444444444444445,48.29058756440271,48.29058756440271,0.0,91.42857142857143
0.12,4.444444444444445,48.29058756440271,48.29058756440271,0.0,118.57142857142857
0.12,4.444444444444445,48.29058756440271,48.29058756440271,0.0,145.71428571428572
0.12,4.444444444444445,48.29058756440271,48.29058756440271,0.0,172.85714285714286
0.12,4.444444444444445,48.29058756440271,48.29058756440271,0.0,200.0
0.12,6.666666666666667,42.54067049711715,42.54067049711715,0.0,10.0
0.12,6.666666666666667,42.54067049711715,42.54067049711715,0.0,37.14285714285714
0.12,6.666666666666667,42.54067049711715,42.54067049711715,0.0,64.28571428571428
0.12,6.666666666666667,42.54067049711715,42.54067049711715,0.0,91.42857142857143
0.12,6.666666666666667,42.54067049711715,42.54067049711715,0.0,118.57142857142857
0.12,6.666666666666667,42.54067049711715,42.54067049711715,0.0,145.71428571428572
0.12,6.666666666666667,42.54067049711715,42.54067049711715,0.0,172.85714285714286
0.12,6.666666666666667,42.54067049711715,42.54067049711715,0.0,200.0
0.12,8.88888888888889,37.75975205704814,37.75975205704814,0.0,10.0
0.12,8.88888888888889,37.75975205704814,37.75975205704814,0.0,37.14285714285714
0.12,8.88888888888889,37.75975205704814,37.75975205704814,0.0,64.28571428571428
0.12,8.88888888888889,37.75975205704814,37.75975205704814,0.0,91.42857142857143
0.12,8.88888888888889,37.75975205704814,37.75975205704814,0.0,118.57142857142857
0.12,8.88888888888889,37.75975205704814,37.75975205704814,0.0,145.71428571428572
0.12,8.88888888888889,37.75975205704814,37.75975205704814,0.0,172.85714285714286
0.12,8.88888888888889,37.75975205704814,37.75975205704814,0.0,200.0
0.12,11.11111111111111,33.741728397309984,33.741728397309984,0.0,10.0
0.12,11.11111111111111,33.741728397309984,33.741728397309984,0.0,37.14285714285714
0.12,11.11111111111111,33.741728397309984,33.741728397309984,0.0,64.28571428571428
0.12,11.11111111111111,33.741728397309984,33.741728397309984,0.0,91.42857142857143
0.12,11.11111111111111,33.741728397309984,33.741728397309984,0.0,118.57142857142857
0.12,11.11111111111111,33.741728397309984,33.741728397309984,0.0,145.71428571428572
0.12,11.11111111111111,33.741728397309984,33.741728397309984,0.0,172.85714285714286
0.12,11.11111111111111,33.741728397309984,33.741728397309984,0.0,200.0
0.12,13.333333333333334,30.33251530763335,30.33251530763335,0.0,10.0
0.12,13.333333333333334,30.33251530763335,30.33251530763335,0.0,37.14285714285714
0.12,13.333333333333334,30.33251530763335,30.33251530763335,0.0,64.28571428571428
0.12,13.333333333333334,30.33251530763335,30.33251530763335,0.0,91.42857142857143
0.12,13.333333333333334,30.33251530763335,30.33251530763335,0.0,118.57142857142857
0.12,13.333333333333334,30.33251530763335,30.33251530763335,0.0,145.71428571428572
0.12,13.333333333333334,30.33251530763335,30.33251530763335,0.0,172.85714285714286
0.12,13.333333333333334,30.33251530763335,30.33251530763335,0.0,200.0
0.12,15.555555555555557,27.415052756306952,27.415052756306952,0.0,10.0
0.12,15.555555555555557,27.415052756306952,27.415052756306952,0.0,37.14285714285714
0.12,15.555555555555557,27.415052756306952,27.415052756306952,0.0,64.28571428571428
0.12,15.555555555555557,27.415052756306952,27.415052756306952,0.0,91.42857142857143
0.12,15.555555555555557,27.415052756306952,27.415052756306952,0.0,118.57142857142857
0.12,15.555555555555557,27.415052756306952,27.415052756306952,0.0,145.71428571428572
0.12,15.555555555555557,27.415052756306952,27.415052756306952,0.0,172.85714285714286
0.12,15.555555555555557,27.415052756306952,27.415052756306952,0.0,200.0
0.12,17.77777777777778,24.899120531086613,24.899120531086613,0.0,10.0
0.12,17.77777777777778,24.899120531086613,24.899120531086613,0.0,37.14285714285714
0.12,17.77777777777778,24.899120531086613,24.899120531086613,0.0,64.28571428571428
0.12,17.77777777777778,24.899120531086613,24.899120531086613,0.0,91.42857142857143
0.12,17.77777777777778,24.899120531086613,24.899120531086613,0.0,118.57142857142857
0.12,17.77777777777778,24.899120531086613,24.899120531086613,0.0,145.71428571428572
0.12,17.77777777777778,24.899120531086613,24.899120531086613,0.0,172.85714285714286
0.12,17.77777777777778,24.899120531086613,24.899120531086613,0.0,200.0
0.12,20.0,22.714278466236127,22.714278466236127,0.0,10.0
0.12,20.0,22.714278466236127,22.714278466236127,0.0,37.14285714285714
0.12,20.0,22.714278466236127,22.714278466236127,0.0,64.28571428571428
0.12,20.0,22.714278466236127,22.714278466236127,0.0,91.42857142857143
0.12,20.0,22.714278466236127,22.714278466236127,0.0,118.57142857142857
0.12,20.0,22.714278466236127,22.714278466236127,0.0,145.71428571428572
0.12,20.0,22.714278466236127,22.714278466236127,0.0,172.85714285714286
0.12,20.0,22.714278466236127,22.714278466236127,0.0,200.0
0.23,0.0,63.92981104894294,63.92981104894294,0.0,10.0
0.23,0.0,63.92981104894294,63.92981104894294,0.0,37.14285714285714
0.23,0.0,63.92981104894294,63.92981104894294,0.0,64.28571428571428
0.23,0.0,63.92981104894294,63.92981104894294,0.0,91.42857142857143
0.23,0.0,63.92981104894294,63.92981104894294,0.0,118.57142857142857
0.23,0.0,63.92981104894294,63.92981104894294,0.0,145.71428571428572
0.23,0.0,63.92981104894294,63.92981104894294,0.0,172.85714285714286
0.23,0.0,63.92981104894294,63.92981104894294,0.0,200.0
0.23,2.2222222222222223,55.29021974403455,55.29021974403455,0.0,10.0
0.23,2.2222222222222223,55.29021974403455,55.29021974403455,0.0,37.14285714285714
0.23,2.2222222222222223,55.29021974403455,55.29021974403455,0.0,64.28571428571428
0.23,2.2222222222222223,55.29021974403455,55.29021974403455,0.0,91.42857142857143
0.23,2.2222222222222223,55.29021974403455,55.29021974403455,0.0,118.57142857142857
0.23,2.2222222222222223,55.29021974403455,55.29021974403455,0.0,145.71428571428572
0.23,2.2222222222222223,55.29021974403455,55.29021974403455,0.0,172.85714285714286
0.23,2.2222222222222223,55.29021974403455,55.29021974403455,0.0,200.0
0.23,4.444444444444445,48.290589498282685,48.290589498282685,0.0,10.0
0.23,4.444444444444445,48.290589498282685,48.290589498282685,0.0,37.14285714285714
0.23,4.444444444444445,48.290589498282685,48.290589498282685,0.0,64.28571428571428
0.23,4.444444444444445,48.290589498282685,48.290589498282685,0.0,91.42857142857143
0.23,4.444444444444445,48.290589498282685,48.290589498282685,0.0,118.57142857142857
0.23,4.444444444444445,48.290589498282685,48.290589498282685,0.0,145.71428571428572
0.23,4.444444444444445,48.290589498282685,48.290589498282685,0.0,172.85714285714286
0.23,4.444444444444445,48.290589498282685,48.290589498282685,0.0,200.0
0.23,6.666666666666667,42.54067220073176,42.54067220073176,0.0,10.0
0.23,6.666666666666667,42.54067220073176,42.54067220073176,0.0,37.14285714285714
0.23,6.666666666666667,42.54067220073176,42.54067220073176,0.0,64.28571428571428
0.23,6.666666666666667,42.54067220073176,42.54067220073176,0.0,91.42857142857143
0.23,6.666666666666667,42.54067220073176,42.54067220073176,0.0,118.57142857142857
0.23,6.666666666666667,42.54067220073176,42.54067220073176,0.0,145.71428571428572
0.23,6.666666666666667,42.54067220073176,42.54067220073176,0.0,172.85714285714286
0.23,6.666666666666667,42.54067220073176,42.54067220073176,0.0,200.0
0.23,8.88888888888889,37.759753569202616,37.759753569202616,0.0,10.0
0.23,8.88888888888889,37.759753569202616,37.759753569202616,0.0,37.14285714285714
0.23,8.88888888888889,37.759753569202616,37.759753569202616,0.0,64.28571428571428
0.23,8.88888888888889,37.759753569202616,37.759753569202616,0.0,91.42857142857143
0.23,8.88888888888889,37.759753569202616,37.759753569202616,0.0,118.57142857142857
0.23,8.88888888888889,37.759753569202616,37.759753569202616,0.0,145.71428571428572
0.23,8.88888888888889,37.759753569202616,37.759753569202616,0.0,172.85714285714286
0.23,8.88888888888889,37.759753569202616,37.759753569202616,0.0,200.0
0.23,11.11111111111111,33.74172974855576,33.74172974855576,0.0,10.0
0.23,11.11111111111111,33.74172974855576,33.74172974855576,0.0,37.14285714285714
0.23,11.11111111111111,33.74172974855576,33.74172974855576,0.0,64.28571428571428
0.23,11.11111111111111,33.74172974855576,33.74172974855576,0.0,91.42857142857143
0.23,11.11111111111111,33.74172974855576,33.74172974855576,0.0,118.57142857142857
0.23,11.11111111111111,33.74172974855576,33.74172974855576,0.0,145.71428571428572
0.23,11.11111111111111,33.74172974855576,33.74172974855576,0.0,172.85714285714286
0.23,11.11111111111111,33.74172974855576,33.74172974855576,0.0,200.0
0.23,13.333333333333334,30.33251652235131,30.33251652235131,0.0,10.0
0.23,13.333333333333334,30.33251652235131,30.33251652235131,0.0,37.14285714285714
0.23,13.333333333333334,30.33251652235131,30.33251652235131,0.0,64.28571428571428
0.23,13.333333333333334,30.33251652235131,30.33251652235131,0.0,91.42857142857143
0.23,13.333333333333334,30.33251652235131,30.33251652235131,0.0,118.57142857142857
0.23,13.333333333333334,30.33251652235131,30.33251652235131,0.0,145.71428571428572
0.23,13.333333333333334,30.33251652235131,30.33251652235131,0.0,172.85714285714286
0.23,13.333333333333334,30.33251652235131,30.33251652235131,0.0,200.0
0.23,15.555555555555557,27.415053854190077,27.415053854190077,0.0,10.0
0.23,15.555555555555557,27.415053854190077,27.415053854190077,0.0,37.14285714285714
0.23,15.555555555555557,27.415053854190077,27.415053854190077,0.0,64.28571428571428
0.23,15.555555555555557,27.415053854190077,27.415053854190077,0.0,91.42857142857143
0.23,15.555555555555557,27.415053854190077,27.415053854190077,0.0,118.57142857142857
0.23,15.555555555555557,27.415053854190077,27.415053854190077,0.0,145.71428571428572
0.23,15.555555555555557,27.415053854190077,27.415053854190077,0.0,172.85714285714286
0.23,15.555555555555557,27.415053854190077,27.415053854190077,0.0,200.0
0.23,17.77777777777778,24.89912152821489,24.89912152821489,0.0,10.0
0.23,17.77777777777778,24.89912152821489,24.89912152821489,0.0,37.14285714285714
0.23,17.77777777777778,24.89912152821489,24.89912152821489,0.0,64.28571428571428
0.23,17.77777777777778,24.89912152821489,24.89912152821489,0.0,91.42857142857143
0.23,17.77777777777778,24.89912152821489,24.89912152821489,0.0,118.57142857142857
0.23,17.77777777777778,24.89912152821489,24.89912152821489,0.0,145.71428571428572
0.23,17.77777777777778,24.89912152821489,24.89912152821489,0.0,172.85714285714286
0.23,17.77777777777778,24.89912152821489,24.89912152821489,0.0,200.0
0.23,20.0,22.714279375868635,22.714279375868635,0.0,10.0
0.23,20.0,22.714279375868635,22.714279375868635,0.0,37.14285714285714
0.23,20.0,22.714279375868635,22.714279375868635,0.0,64.28571428571428
0.23,20.0,22.714279375868635,22.714279375868635,0.0,91.42857142857143
0.23,20.0,22.714279375868635,22.714279375868635,0.0,118.57142857142857
0.23,20.0,22.714279375868635,22.714279375868635,0.0,145.71428571428572
0.23,20.0,22.714279375868635,22.714279375868635,0.0,172.85714285714286
0.23,20.0,22.714279375868635,22.714279375868635,0.0,200.0
0.34,0.0,63.92981107272841,63.92981107272841,0.0,10.0
0.34,0.0,63.92981107272841,63.92981107272841,0.0,37.14285714285714
0.34,0.0,63.92981107272841,63.92981107272841,0.0,64.28571428571428
0.34,0.0,63.92981107272841,63.92981107272841,0.0,91.42857142857143
0.34,0.0,63.92981107272841,63.92981107272841,0.0,118.57142857142857
0.34,0.0,63.92981107272841,63.92981107272841,0.0,145.71428571428572
0.34,0.0,63.92981107272841,63.92981107272841,0.0,172.85714285714286
0.34,0.0,63.92981107272841,63.92981107272841,0.0,200.0
0.34,2.2222222222222223,55.29021976460561,55.29021976460561,0.0,10.0
0.34,2.2222222222222223,55.29021976460561,55.29021976460561,0.0,37.14285714285714
0.34,2.2222222222222223,55.29021976460561,55.29021976460561,0.0,64.28571428571428
0.34,2.2222222222222223,55.29021976460561,55.29021976460561,0.0,91.42857142857143
0.34,2.2222222222222223,55.29021976460561,55.29021976460561,0.0,118.57142857142857
0.34,2.2222222222222223,55.29021976460561,55.29021976460561,0.0,145.71428571428572
0.34,2.2222222222222223,55.29021976460561,55.29021976460561,0.0,172.85714285714286
0.34,2.2222222222222223,55.29021976460561,55.29021976460561,0.0,200.0
0.34,4.444444444444445,48.29058951624948,48.29058951624948,0.0,10.0
0.34,4.444444444444445,48.29058951624948,48.29058951624948,0.0,37.14285714285714
0.34,4.444444444444445,48.29058951624948,48.29058951624948,0.0,64.28571428571428
0.34,4.444444444444445,48.29058951624948,48.29058951624948,0.0,91.42857142857143
0.34,4.444444444444445,48.29058951624948,48.29058951624948,0.0,118.57142857142857
0.34,4.444444444444445,48.29058951624948,48.29058951624948,0.0,145.71428571428572
0.34,4.444444444444445,48.29058951624948,48.29058951624948,0.0,172.85714285714286
0.34,4.444444444444445,48.29058951624948,48.29058951624948,0.0,200.0
0.34,6.666666666666667,42.54067221655927,42.54067221655927,0.0,10.0
0.34,6.666666666666667,42.54067221655927,42.54067221655927,0.0,37.14285714285714
0.34,6.666666666666667,42.54067221655927,42.54067221655927,0.0,64.28571428571428
